SampleID	LRR_mean	LRR_median	LRR_SD	BAF_mean	BAF_median	BAF_SD	BAF_DRIFT	WF	GCWF
ALSPACXXXXXXXX	-0.0035	0.0000	0.1591	0.5015	0.5000	0.0312	0.000000	-0.0129	-0.0016
ALSPACXXXXXXXX	0.0063	0.0000	0.1514	0.5021	0.5000	0.0303	0.000024	-0.0099	-0.0016
ALSPACXXXXXXXX	-0.0045	0.0000	0.1620	0.5012	0.5000	0.0307	0.000036	-0.0108	-0.0017
